id,scene_id,image,query_type,question,option_A,option_B,option_C,option_D,option_E,answer,answer_text,split_group,ood_axis,layout_family,lighting_condition,clutter_level,difficulty_tier,task_family
cw_scene000_q00,scene_000,images/scene_000.png,slot_color,Which cassette slot contains the amber wafer?,Slot 4,Slot 2,Slot 1,Slot 3,Slot 5,C,Slot 1,standard_holdout,standard,compact_panel,normal,low,easy,wafer_tracking
cw_scene000_q01,scene_000,images/scene_000.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,35,22,26,31,18,D,31,standard_holdout,standard,compact_panel,normal,low,easy,instrument_reading
cw_scene000_q02,scene_000,images/scene_000.png,led_state,Which module shows the red status LED?,Module D,Module E,Module A,Module B,Module C,D,Module B,standard_holdout,standard,compact_panel,normal,low,easy,instrument_reading
cw_scene000_q03,scene_000,images/scene_000.png,cable_connection,Which port is connected to the cyan cable?,P2,P3,P4,P1,P5,E,P5,standard_holdout,standard,compact_panel,normal,low,easy,connection_audit
cw_scene000_q04,scene_000,images/scene_000.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station E,Station D,Station B,Station C,Station A,B,Station D,standard_holdout,standard,compact_panel,normal,low,easy,wafer_tracking
cw_scene000_q05,scene_000,images/scene_000.png,defect_location,Where is the magenta particle marker located on the cassette area?,upper-left,lower-left,upper-right,center,lower-right,C,upper-right,standard_holdout,standard,compact_panel,normal,low,easy,defect_audit
cw_scene000_q06,scene_000,images/scene_000.png,lot_code,What two-digit lot code is shown on the pod label?,64,91,56,92,81,A,64,standard_holdout,standard,compact_panel,normal,low,easy,instrument_reading
cw_scene000_q07,scene_000,images/scene_000.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 1?",3,4,1,2,5,A,3,standard_holdout,standard,compact_panel,normal,low,easy,route_memory
cw_scene001_q00,scene_001,images/scene_001.png,slot_color,Which cassette slot contains the blue wafer?,Slot 1,Slot 5,Slot 4,Slot 2,Slot 3,A,Slot 1,standard_holdout,standard,compact_panel,normal,low,easy,wafer_tracking
cw_scene001_q01,scene_001,images/scene_001.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,26,31,18,22,57,E,57,standard_holdout,standard,compact_panel,normal,low,easy,instrument_reading
cw_scene001_q02,scene_001,images/scene_001.png,led_state,Which module shows the amber status LED?,Module C,Module B,Module A,Module E,Module D,A,Module C,standard_holdout,standard,compact_panel,normal,low,easy,instrument_reading
cw_scene001_q03,scene_001,images/scene_001.png,cable_connection,Which port is connected to the purple cable?,P4,P2,P3,P5,P1,E,P1,standard_holdout,standard,compact_panel,normal,low,easy,connection_audit
cw_scene001_q04,scene_001,images/scene_001.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station D,Station E,Station A,Station B,Station C,D,Station B,standard_holdout,standard,compact_panel,normal,low,easy,wafer_tracking
cw_scene001_q05,scene_001,images/scene_001.png,defect_location,Where is the magenta particle marker located on the cassette area?,upper-right,center,lower-left,lower-right,upper-left,A,upper-right,standard_holdout,standard,compact_panel,normal,low,easy,defect_audit
cw_scene001_q06,scene_001,images/scene_001.png,lot_code,What two-digit lot code is shown on the pod label?,95,61,64,19,16,B,61,standard_holdout,standard,compact_panel,normal,low,easy,instrument_reading
cw_scene001_q07,scene_001,images/scene_001.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 5?",3,1,2,4,5,B,1,standard_holdout,standard,compact_panel,normal,low,easy,route_memory
cw_scene002_q00,scene_002,images/scene_002.png,slot_color,Which cassette slot contains the green wafer?,Slot 5,Slot 4,Slot 3,Slot 1,Slot 2,A,Slot 5,standard_holdout,standard,wide_ports,normal,low,easy,wafer_tracking
cw_scene002_q01,scene_002,images/scene_002.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,82,22,18,31,26,A,82,standard_holdout,standard,wide_ports,normal,low,easy,instrument_reading
cw_scene002_q02,scene_002,images/scene_002.png,led_state,Which module shows the blue status LED?,Module D,Module E,Module B,Module C,Module A,C,Module B,standard_holdout,standard,wide_ports,normal,low,easy,instrument_reading
cw_scene002_q03,scene_002,images/scene_002.png,cable_connection,Which port is connected to the yellow cable?,P4,P3,P1,P5,P2,C,P1,standard_holdout,standard,wide_ports,normal,low,easy,connection_audit
cw_scene002_q04,scene_002,images/scene_002.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station B,Station C,Station E,Station D,Station A,E,Station A,standard_holdout,standard,wide_ports,normal,low,easy,wafer_tracking
cw_scene002_q05,scene_002,images/scene_002.png,defect_location,Where is the magenta particle marker located on the cassette area?,center,lower-right,upper-right,upper-left,lower-left,C,upper-right,standard_holdout,standard,wide_ports,normal,low,easy,defect_audit
cw_scene002_q06,scene_002,images/scene_002.png,lot_code,What two-digit lot code is shown on the pod label?,64,12,22,84,87,E,87,standard_holdout,standard,wide_ports,normal,low,easy,instrument_reading
cw_scene002_q07,scene_002,images/scene_002.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 4?",3,2,5,1,4,C,5,standard_holdout,standard,wide_ports,normal,low,easy,route_memory
cw_scene003_q00,scene_003,images/scene_003.png,slot_color,Which cassette slot contains the amber wafer?,Slot 5,Slot 3,Slot 2,Slot 1,Slot 4,B,Slot 3,standard_holdout,standard,left_cassette,normal,low,easy,wafer_tracking
cw_scene003_q01,scene_003,images/scene_003.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,22,18,26,31,88,E,88,standard_holdout,standard,left_cassette,normal,low,easy,instrument_reading
cw_scene003_q02,scene_003,images/scene_003.png,led_state,Which module shows the red status LED?,Module A,Module B,Module D,Module C,Module E,E,Module E,standard_holdout,standard,left_cassette,normal,low,easy,instrument_reading
cw_scene003_q03,scene_003,images/scene_003.png,cable_connection,Which port is connected to the yellow cable?,P3,P2,P5,P4,P1,A,P3,standard_holdout,standard,left_cassette,normal,low,easy,connection_audit
cw_scene003_q04,scene_003,images/scene_003.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station B,Station E,Station D,Station A,Station C,C,Station D,standard_holdout,standard,left_cassette,normal,low,easy,wafer_tracking
cw_scene003_q05,scene_003,images/scene_003.png,defect_location,Where is the magenta particle marker located on the cassette area?,center,lower-left,upper-left,upper-right,lower-right,D,upper-right,standard_holdout,standard,left_cassette,normal,low,easy,defect_audit
cw_scene003_q06,scene_003,images/scene_003.png,lot_code,What two-digit lot code is shown on the pod label?,93,33,43,76,56,C,43,standard_holdout,standard,left_cassette,normal,low,easy,instrument_reading
cw_scene003_q07,scene_003,images/scene_003.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 1?",2,5,1,3,4,D,3,standard_holdout,standard,left_cassette,normal,low,easy,route_memory
cw_scene004_q00,scene_004,images/scene_004.png,slot_color,Which cassette slot contains the cyan wafer?,Slot 5,Slot 1,Slot 2,Slot 3,Slot 4,C,Slot 2,standard_holdout,standard,left_cassette,normal,low,easy,wafer_tracking
cw_scene004_q01,scene_004,images/scene_004.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,22,35,18,26,31,B,35,standard_holdout,standard,left_cassette,normal,low,easy,instrument_reading
cw_scene004_q02,scene_004,images/scene_004.png,led_state,Which module shows the cyan status LED?,Module E,Module A,Module D,Module B,Module C,C,Module D,standard_holdout,standard,left_cassette,normal,low,easy,instrument_reading
cw_scene004_q03,scene_004,images/scene_004.png,cable_connection,Which port is connected to the cyan cable?,P4,P1,P5,P3,P2,B,P1,standard_holdout,standard,left_cassette,normal,low,easy,connection_audit
cw_scene004_q04,scene_004,images/scene_004.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station C,Station B,Station E,Station A,Station D,E,Station D,standard_holdout,standard,left_cassette,normal,low,easy,wafer_tracking
